-0.1973; 3770;
-0.1424; 3884;
-0.2029; 3998;
-0.1590; 4112;
-0.0985; 4226;
-0.2107; 4340;
-0.2370; 4454;
-0.2236; 4568;
-0.1978; 4682;
-0.2347; 4796;
-0.1401; 4910;
-0.1830; 5024;
-0.1045; 5138;
-0.0390; 5252;
-0.1322; 5366;
-0.0810; 5480;
-0.0177; 5594;
-0.0053; 5708;
-0.0764; 5822;
-0.1747; 5936;
-0.1742; 6050;
-0.1936; 6164;
-0.0875; 6278;
-0.0833; 6392;
-0.0187; 6505;
-0.1992; 6619;
-0.1996; 6733;
-0.1392; 6847;
-0.0958; 6961;
-0.0884; 7075;
-0.1018; 7189;
-0.0976; 7303;
-0.0390; 7429;
-0.0524; 7543;
-0.0699; 7657;
-0.0838; 7771;
-0.0334; 7885;
0.0192; 7999;
-0.0039; 8113;
-0.0219; 8227;
0.0478; 8341;
-0.0242; 8455;
0.0003; 8568;
0.0598; 8682;
0.0409; 8796;
0.0727; 8910;
0.0169; 9024;
0.0358; 9138;
0.0981; 9252;
0.1254; 9366;
0.1517; 9480;
0.1249; 9594;
0.0630; 9708;
0.1295; 9822;
0.1628; 9936;
0.0898; 10050;
0.0940; 10164;
0.0861; 10278;
0.1037; 10392;
0.1577; 10712;
0.1785; 10826;
0.1895; 10940;
0.2532; 11054;
0.1891; 11168;
0.2195; 11282;
0.2708; 11407;
0.2283; 11521;
0.1766; 11635;
0.2579; 11749;
0.0857; 11863;
0.2588; 11977;
0.2786; 12091;
0.1868; 12205;
0.2366; 12319;
0.1845; 12433;
0.2338; 12547;
0.1840; 12661;
0.2357; 12775;
0.1628; 12889;
0.2435; 13003;
0.2191; 13117;
0.1641; 13231;
0.2745; 13345;
0.3003; 13459;
0.2832; 13573;
0.3008; 13687;
0.1992; 13801;
0.2957; 13915;
0.2486; 14029;
0.3026; 14143;
0.1900; 14257;
0.3086; 14371;
0.3419; 14485;
0.2117; 14599;
0.2611; 14713;
0.2454; 14827;
0.3128; 14941;
0.2648; 15067;
0.2865; 15181;
0.3091; 15295;
0.2800; 15409;
0.3234; 15523;
0.3303; 15637;
0.2948; 15751;
0.2454; 15865;
0.2694; 15979;
0.3982; 16093;
0.3543; 16207;
0.3326; 16321;
0.3793; 16435;
0.4204; 16549;
0.4037; 16663;
0.3673; 16777;
0.3400; 16891;
0.3216; 17005;
0.4005; 17119;
0.4065; 17233;
0.3839; 17348;
0.4208; 17462;
0.3105; 17576;
0.4434; 17895;
0.3446; 18009;
0.4693; 18134;
0.4360; 18248;
0.4005; 18362;
0.4056; 18477;
0.4647; 18591;
0.3654; 18705;
0.4420; 18819;
0.4199; 18933;
0.3169; 19047;
0.3654; 19161;
0.3996; 19275;
0.4005; 19389;
0.3954; 19503;
0.3331; 19617;
0.3700; 19731;
0.3843; 19845;
0.3756; 19959;
0.3502; 20073;
0.3825; 20187;
0.4125; 20301;
0.4610; 20415;
0.3160; 20529;
0.4125; 20643;
0.3511; 20757;
0.3723; 20871;
0.3797; 20986;
0.3770; 21100;
0.3326; 21214;
0.3289; 21328;
0.4056; 21442;
0.3409; 21556;
0.3525; 21670;
0.3807; 21784;
0.3474; 21898;
0.3294; 22012;
0.2939; 22126;
0.3142; 22240;
0.3516; 22354;
0.3585; 22468;
0.4328; 22594;
0.3142; 22708;
0.3553; 22822;
0.3797; 22936;
0.2791; 23050;
0.2994; 23164;
0.2625; 23278;
0.3119; 23392;
0.3963; 23506;
0.3133; 23620;
0.3373; 23734;
0.3031; 23848;
0.3797; 23962;
0.3317; 24076;
0.3783; 24190;
0.3382; 24304;
0.3119; 24418;
0.2902; 24533;
0.3349; 24647;
0.3493; 24966;
0.2495; 25080;
0.3719; 25194;
0.3539; 25308;
0.3539; 25422;
0.3862; 25536;
0.2966; 25650;
0.3867; 25764;
0.4397; 25878;
0.3174; 25992;
0.3082; 26106;
0.3045; 26221;
0.2560; 26335;
0.3253; 26460;
0.2726; 26574;
0.3257; 26688;
0.3017; 26802;
0.3003; 26916;
0.3086; 27030;
0.3326; 27144;
0.3470; 27258;
0.3313; 27373;
0.2934; 27487;
0.2994; 27601;
0.2634; 27715;
0.2426; 27829;
0.3423; 27943;
0.2934; 28057;
0.3049; 28171;
0.3151; 28285;
0.2888; 28399;
0.3663; 28513;
0.2542; 28627;
0.3867; 28741;
0.3982; 28855;
0.3682; 28969;
0.2759; 29084;
0.2962; 29198;
0.3012; 29312;
0.3128; 29426;
0.2463; 29540;
0.2971; 29654;
0.2689; 29768;
0.2777; 29882;
0.3142; 29996;
0.3036; 30122;
0.3853; 30236;
0.3917; 30350;
0.3308; 30464;
0.3391; 30578;
0.3313; 30692;
0.2856; 30806;
0.3590; 30920;
0.2528; 31034;
0.2038; 31148;
0.2976; 31262;
0.2283; 31376;
0.2278; 31491;
0.2482; 31605;
0.2555; 31719;
0.1623; 31833;
0.3026; 32141;
0.1969; 32255;
0.2149; 32369;
0.1720; 32483;
0.2145; 32597;
0.3188; 32711;
0.1697; 32825;
0.1577; 32940;
0.1798; 33054;
0.2380; 33168;
0.2500; 33282;
0.2149; 33396;
0.2643; 33510;
0.2879; 33624;
0.2842; 33738;
0.2800; 33852;
0.2939; 33966;
0.3807; 34081;
0.3308; 34195;
0.2782; 34309;
0.2514; 34423;
0.2611; 34537;
0.2736; 34651;
0.2357; 34765;
0.2029; 34879;
